location,monthly_rent
Kuala Lumpur - Ampang,1904.05
Kuala Lumpur - Ampang Hilir,2978.5
Kuala Lumpur - Bandar Damai Perdana,1675.0
Kuala Lumpur - Bandar Menjalara,1612.97
Kuala Lumpur - Bandar Tasik Selatan,1035.71
Kuala Lumpur - Bangsar,2638.43
Kuala Lumpur - Bangsar South,2791.13
Kuala Lumpur - Brickfields,2214.29
Kuala Lumpur - Bukit Bintang,3073.9
Kuala Lumpur - Bukit Jalil,1677.3
Kuala Lumpur - Cheras,1670.37
Kuala Lumpur - City Centre,2841.58
Kuala Lumpur - Damansara,1850.0
Kuala Lumpur - Damansara Heights,2356.88
Kuala Lumpur - Desa Pandan,1957.12
Kuala Lumpur - Desa ParkCity,2350.03
Kuala Lumpur - Desa Petaling,1524.45
Kuala Lumpur - Gombak,1898.91
Kuala Lumpur - Jalan Ipoh,1730.18
Kuala Lumpur - Jalan Kuching,1731.06
Kuala Lumpur - Jalan Sultan Ismail,2124.05
Kuala Lumpur - Jinjang,1052.67
Kuala Lumpur - KL City,2406.78
Kuala Lumpur - KL Eco City,3400.0
Kuala Lumpur - KL Sentral,2837.5
Kuala Lumpur - KLCC,4636.17
Kuala Lumpur - Kepong,1434.5
Kuala Lumpur - Keramat,2097.97
Kuala Lumpur - Kuchai Lama,1738.44
Kuala Lumpur - Mid Valley City,2335.57
Kuala Lumpur - Mont Kiara,3378.43
Kuala Lumpur - OUG,1308.29
Kuala Lumpur - Old Klang Road,1735.88
Kuala Lumpur - Others,1033.33
Kuala Lumpur - Pandan Indah,1164.07
Kuala Lumpur - Pandan Jaya,1243.33
Kuala Lumpur - Pandan Perdana,1586.93
Kuala Lumpur - Pantai,2366.15
Kuala Lumpur - Puchong,1909.5
Kuala Lumpur - Pudu,1739.32
Kuala Lumpur - Salak Selatan,1050.0
Kuala Lumpur - Segambut,1971.09
Kuala Lumpur - Sentul,1710.63
Kuala Lumpur - Seputeh,1988.18
Kuala Lumpur - Serdang,763.75
Kuala Lumpur - Setapak,1665.11
Kuala Lumpur - Setiawangsa,1976.75
Kuala Lumpur - Solaris Dutamas,2416.29
Kuala Lumpur - Sri Damansara,2509.33
Kuala Lumpur - Sri Hartamas,2529.24
Kuala Lumpur - Sri Petaling,1732.51
Kuala Lumpur - Sungai Besi,1715.13
Kuala Lumpur - Taman Desa,1725.1
Kuala Lumpur - Taman Melawati,1960.46
Kuala Lumpur - Taman Tun Dr Ismail,3019.15
Kuala Lumpur - Titiwangsa,2273.3
Kuala Lumpur - Wangsa Maju,1954.56
Selangor - 360,2245.36
Selangor - 369,1000.0
Selangor - 389,1529.27
Selangor - 517,1383.33
Selangor - 639,1806.67
Selangor - Alam Impian,1984.12
Selangor - Ampang,1373.75
Selangor - Ara Damansara,2122.73
Selangor - Balakong,1321.43
Selangor - Bandar Bukit Raja,1400.0
Selangor - Bandar Kinrara,1409.62
Selangor - Bandar Mahkota Cheras,1559.33
Selangor - Bandar Saujana Putra,1389.58
Selangor - Bandar Sri Damansara,1096.55
Selangor - Bandar Sungai Long,1076.0
Selangor - Bandar Sunway,1747.9
Selangor - Bandar Utama,2033.33
Selangor - Bangi,1246.58
Selangor - Banting,700.0
Selangor - Batu Caves,1249.63
Selangor - Beranang,460.0
Selangor - Bukit Jelutong,1819.05
Selangor - Cheras,1374.55
Selangor - Cyberjaya,1419.89
Selangor - Damansara Damai,1309.3
Selangor - Damansara Perdana,1519.27
Selangor - Dengkil,1019.01
Selangor - Glenmarie,1823.53
Selangor - Gombak,1168.03
Selangor - Hulu Langat,800.0
Selangor - I-City,1420.0
Selangor - Jenjarom,1248.33
Selangor - Kajang,1146.28
Selangor - Kapar,750.0
Selangor - Kelana Jaya,1862.5
Selangor - Klang,1493.87
Selangor - Kota Damansara,1810.55
Selangor - Kota Kemuning,2053.82
Selangor - Kuala Langat,1348.35
Selangor - Kuala Selangor,800.0
Selangor - Mutiara Damansara,1250.0
Selangor - Petaling Jaya,1876.42
Selangor - Port Klang,1575.77
Selangor - Puchong,1300.74
Selangor - Puchong South,1290.67
Selangor - Puncak Alam,1077.03
Selangor - Putra Heights,1200.0
Selangor - Rawang,878.7
Selangor - Salak Tinggi,700.0
Selangor - Saujana Utama,1133.33
Selangor - Selayang,1393.75
Selangor - Semenyih,944.45
Selangor - Sepang,1253.73
Selangor - Serdang,1150.0
Selangor - Seri Kembangan,1250.75
Selangor - Setia Alam,1513.72
Selangor - Shah Alam,1487.67
Selangor - Subang Bestari,1000.0
Selangor - Subang Jaya,1780.15
Selangor - Sungai Buloh,1336.84
Selangor - USJ,1322.73
Selangor - Ulu Klang,2366.67
